metapath	nonzero	seconds_per_query	auroc	auroc_permuted	delta_auroc	pval_auroc	length
CbGaD	0.312	0.0145	0.715	0.58	0.135	3.25e-06	2
CbGdD	0.149	0.0136	0.512	0.515	-0.00332	0.921	2
CbGuD	0.135	0.0131	0.517	0.514	0.00307	0.136	2
CdGaD	0.199	0.0134	0.6	0.583	0.0166	0.000896	2
CdGdD	0.142	0.0143	0.549	0.539	0.00928	0.0074	2
CdGuD	0.162	0.0133	0.552	0.542	0.00931	0.0243	2
CpDrD	0.014	0.0115	0.512	0.501	0.0107	5.78e-05	2
CrCpD	0.0111	0.0116	0.509	0.505	0.00389	0.00933	2
CrCtD	0.126	0.0121	0.749	0.527	0.222	6.68e-07	2
CtDrD	0.14	0.0113	0.695	0.524	0.17	5.24e-07	2
CuGaD	0.205	0.012	0.602	0.586	0.0168	0.000426	2
CuGdD	0.141	0.0136	0.551	0.542	0.00891	0.0333	2
CuGuD	0.15	0.0127	0.551	0.542	0.00886	0.0182	2
CbG<rGaD	0.552	0.0349	0.636	0.587	0.0489	0.000164	3
CbG<rGdD	0.305	0.044	0.557	0.539	0.0182	0.0113	3
CbG<rGuD	0.301	0.0533	0.553	0.545	0.00736	0.012	3
CbGaDrD	0.582	0.0134	0.632	0.509	0.123	3.63e-06	3
CbGbCpD	0.317	0.0118	0.594	0.591	0.00321	0.208	3
CbGbCtD	0.727	0.012	0.861	0.667	0.194	3.79e-06	3
CbGcGaD	0.222	0.0154	0.553	0.565	-0.0124	0.955	3
CbGcGdD	0.221	0.0261	0.5	0.523	-0.0238	0.996	3
CbGcGuD	0.232	0.0264	0.508	0.527	-0.0192	0.999	3
CbGdAlD	0.71	0.0372	0.566	0.546	0.0199	0.074	3
CbGdCpD	0.0127	0.0114	0.505	0.503	0.00227	0.0486	3
CbGdCtD	0.15	0.0157	0.607	0.564	0.0432	0.00187	3
CbGdDrD	0.428	0.0233	0.502	0.508	-0.00653	0.662	3
CbGeAlD	0.935	0.155	0.656	0.559	0.0967	5.17e-05	3
CbGiGaD	0.605	0.0288	0.673	0.616	0.0577	0.000231	3
CbGiGdD	0.33	0.0406	0.55	0.54	0.00975	0.00656	3
CbGiGuD	0.334	0.0441	0.551	0.546	0.00473	0.0978	3
CbGr>GaD	0.585	0.0293	0.637	0.601	0.0361	0.000156	3
CbGr>GdD	0.313	0.0467	0.562	0.548	0.0138	0.000319	3
CbGr>GuD	0.332	0.0613	0.565	0.552	0.0132	0.00586	3
CbGuAlD	0.692	0.0359	0.631	0.551	0.08	0.000795	3
CbGuCpD	0.0212	0.0119	0.515	0.507	0.00761	0.00242	3
CbGuCtD	0.194	0.0156	0.594	0.596	-0.00291	0.806	3
CbGuDrD	0.361	0.0238	0.501	0.509	-0.00735	0.674	3
CcSEcCpD	0.471	0.0198	0.609	0.613	-0.00397	0.901	3
CcSEcCtD	0.957	0.0314	0.816	0.697	0.118	1.96e-06	3
CdG<rGaD	0.661	0.0428	0.614	0.616	-0.00199	0.789	3
CdG<rGdD	0.323	0.0522	0.578	0.571	0.00723	0.0351	3
CdG<rGuD	0.325	0.0621	0.579	0.584	-0.00503	0.993	3
CdGaDrD	0.325	0.0133	0.569	0.554	0.0148	0.0187	3
CdGbCpD	0.0103	0.011	0.501	0.522	-0.021	1	3
CdGbCtD	0.132	0.0119	0.6	0.568	0.0318	0.00107	3
CdGcGaD	0.231	0.015	0.595	0.593	0.00198	0.0363	3
CdGcGdD	0.182	0.025	0.562	0.55	0.0126	0.0027	3
CdGcGuD	0.189	0.0248	0.559	0.556	0.00337	0.169	3
CdGdAlD	0.499	0.0338	0.574	0.58	-0.00652	0.846	3
CdGdCpD	0.16	0.012	0.564	0.568	-0.00397	0.766	3
CdGdCtD	0.515	0.0179	0.656	0.632	0.0239	0.00109	3
CdGdDrD	0.318	0.0192	0.545	0.544	0.00165	0.432	3
CdGeAlD	0.664	0.122	0.595	0.584	0.0104	0.00128	3
CdGiGaD	0.512	0.0294	0.613	0.614	-0.00131	0.701	3
CdGiGdD	0.273	0.0382	0.563	0.565	-0.00183	0.66	3
CdGiGuD	0.269	0.0398	0.564	0.573	-0.00812	0.999	3
CdGr>GaD	0.568	0.0295	0.605	0.614	-0.00867	0.983	3
CdGr>GdD	0.29	0.0441	0.568	0.57	-0.00188	0.707	3
CdGr>GuD	0.302	0.0568	0.572	0.58	-0.00737	1	3
CdGuAlD	0.5	0.0331	0.583	0.584	-9.37e-05	0.506	3
CdGuCpD	0.0705	0.0116	0.526	0.533	-0.00718	0.973	3
CdGuCtD	0.335	0.0151	0.588	0.636	-0.0474	1	3
CdGuDrD	0.347	0.0202	0.543	0.55	-0.00749	0.76	3
CpDaGaD	0.139	0.0124	0.529	0.528	0.00182	0.149	3
CpDaGdD	0.0556	0.0125	0.525	0.513	0.0114	0.00162	3
CpDaGuD	0.0554	0.0124	0.523	0.514	0.0093	0.00474	3
CpDdGaD	0.0909	0.0117	0.515	0.524	-0.0084	0.982	3
CpDdGdD	0.0464	0.0153	0.521	0.515	0.0056	0.0764	3
CpDdGuD	0.045	0.0131	0.514	0.517	-0.00227	0.746	3
CpDlAlD	0.131	0.0119	0.529	0.526	0.00324	0.00874	3
CpDpCpD	0.0167	0.0112	0.52	0.511	0.00919	0.000743	3
CpDpCtD	0.0363	0.011	0.567	0.522	0.0454	1.84e-05	3
CpDpSpD	0.134	0.0119	0.531	0.526	0.00551	0.0122	3
CpDrDrD	0.0403	0.0114	0.526	0.515	0.0111	0.00716	3
CpDtCpD	0.0045	0.0113	0.501	0.502	-0.000789	0.658	3
CpDtCtD	0.0363	0.0112	0.524	0.524	5.24e-05	0.492	3
CpDuGaD	0.0909	0.0115	0.517	0.524	-0.00727	0.962	3
CpDuGdD	0.0445	0.0137	0.52	0.514	0.00564	0.0717	3
CpDuGuD	0.045	0.0159	0.517	0.517	0.00051	0.435	3
CrCbGaD	0.412	0.0132	0.653	0.572	0.0811	2.34e-05	3
CrCbGdD	0.176	0.0154	0.51	0.518	-0.00774	0.939	3
CrCbGuD	0.185	0.0145	0.508	0.515	-0.00702	0.96	3
CrCdGaD	0.329	0.0131	0.611	0.557	0.054	6.85e-05	3
CrCdGdD	0.199	0.0204	0.536	0.517	0.0189	4.25e-05	3
CrCdGuD	0.221	0.0223	0.545	0.524	0.0211	0.00114	3
CrCpDrD	0.0543	0.0116	0.514	0.501	0.0127	0.00219	3
CrCrCpD	0.0395	0.0115	0.514	0.534	-0.0207	0.984	3
CrCrCtD	0.155	0.0115	0.754	0.588	0.166	2.7e-08	3
CrCtDrD	0.136	0.0112	0.648	0.503	0.145	9.38e-08	3
CrCuGaD	0.362	0.0141	0.602	0.558	0.0438	0.000522	3
CrCuGdD	0.191	0.02	0.536	0.522	0.014	0.00514	3
CrCuGuD	0.211	0.0213	0.535	0.523	0.0127	0.00332	3
CtDaGaD	0.858	0.0196	0.609	0.498	0.111	2.97e-06	3
CtDaGdD	0.408	0.017	0.606	0.586	0.0208	0.00769	3
CtDaGuD	0.403	0.0196	0.59	0.594	-0.00443	0.711	3
CtDdGaD	0.462	0.0143	0.705	0.68	0.0245	0.00539	3
CtDdGdD	0.261	0.025	0.558	0.525	0.0323	0.00184	3
CtDdGuD	0.253	0.0229	0.534	0.624	-0.0901	1	3
CtDlAlD	0.754	0.0129	0.592	0.477	0.115	4.61e-07	3
CtDpCpD	0.0673	0.0117	0.577	0.532	0.0456	0.000117	3
CtDpCtD	0.0691	0.0111	0.548	0.595	-0.0471	0.995	3
CtDpSpD	0.754	0.0131	0.602	0.471	0.131	7.16e-06	3
CtDrDrD	0.295	0.0114	0.684	0.509	0.175	2.91e-08	3
CtDtCpD	0.0532	0.011	0.535	0.564	-0.0295	0.954	3
CtDtCtD	0.287	0.0114	0.749	0.55	0.199	2.98e-06	3
CtDuGaD	0.504	0.0152	0.699	0.687	0.0122	0.109	3
CtDuGdD	0.268	0.0227	0.534	0.619	-0.0847	1	3
CtDuGuD	0.268	0.0261	0.545	0.53	0.0149	0.0228	3
CuG<rGaD	0.644	0.0378	0.625	0.619	0.0054	0.00105	3
CuG<rGdD	0.313	0.0458	0.584	0.573	0.0114	0.00281	3
CuG<rGuD	0.31	0.0541	0.588	0.585	0.00275	0.144	3
CuGaDrD	0.344	0.0128	0.575	0.555	0.0198	0.000341	3
CuGbCpD	0.0442	0.0117	0.534	0.529	0.00499	0.0547	3
CuGbCtD	0.14	0.0121	0.592	0.576	0.0158	0.00285	3
CuGcGaD	0.242	0.0154	0.591	0.593	-0.00133	0.675	3
CuGcGdD	0.188	0.0251	0.563	0.55	0.0131	0.00143	3
CuGcGuD	0.188	0.0248	0.565	0.551	0.0138	0.000584	3
