metapath	metaedge	metaedge_abbrev
CbGaD	Compound - binds - Gene	CbG
CbGaD	Disease - associates - Gene	DaG
CbGdD	Compound - binds - Gene	CbG
CbGdD	Disease - downregulates - Gene	DdG
CbGuD	Compound - binds - Gene	CbG
CbGuD	Disease - upregulates - Gene	DuG
CdGaD	Compound - downregulates - Gene	CdG
CdGaD	Disease - associates - Gene	DaG
CdGdD	Compound - downregulates - Gene	CdG
CdGdD	Disease - downregulates - Gene	DdG
CdGuD	Compound - downregulates - Gene	CdG
CdGuD	Disease - upregulates - Gene	DuG
CpDrD	Compound - palliates - Disease	CpD
CpDrD	Disease - resembles - Disease	DrD
CrCpD	Compound - resembles - Compound	CrC
CrCpD	Compound - palliates - Disease	CpD
CrCtD	Compound - resembles - Compound	CrC
CrCtD	Compound - treats - Disease	CtD
CtDrD	Compound - treats - Disease	CtD
CtDrD	Disease - resembles - Disease	DrD
CuGaD	Compound - upregulates - Gene	CuG
CuGaD	Disease - associates - Gene	DaG
CuGdD	Compound - upregulates - Gene	CuG
CuGdD	Disease - downregulates - Gene	DdG
CuGuD	Compound - upregulates - Gene	CuG
CuGuD	Disease - upregulates - Gene	DuG
CbG<rGaD	Compound - binds - Gene	CbG
CbG<rGaD	Gene > regulates > Gene	GrG
CbG<rGaD	Disease - associates - Gene	DaG
CbG<rGdD	Compound - binds - Gene	CbG
CbG<rGdD	Gene > regulates > Gene	GrG
CbG<rGdD	Disease - downregulates - Gene	DdG
CbG<rGuD	Compound - binds - Gene	CbG
CbG<rGuD	Gene > regulates > Gene	GrG
CbG<rGuD	Disease - upregulates - Gene	DuG
CbGaDrD	Compound - binds - Gene	CbG
CbGaDrD	Disease - associates - Gene	DaG
CbGaDrD	Disease - resembles - Disease	DrD
CbGbCpD	Compound - binds - Gene	CbG
CbGbCpD	Compound - binds - Gene	CbG
CbGbCpD	Compound - palliates - Disease	CpD
CbGbCtD	Compound - binds - Gene	CbG
CbGbCtD	Compound - binds - Gene	CbG
CbGbCtD	Compound - treats - Disease	CtD
CbGcGaD	Compound - binds - Gene	CbG
CbGcGaD	Gene - covaries - Gene	GcG
CbGcGaD	Disease - associates - Gene	DaG
CbGcGdD	Compound - binds - Gene	CbG
CbGcGdD	Gene - covaries - Gene	GcG
CbGcGdD	Disease - downregulates - Gene	DdG
CbGcGuD	Compound - binds - Gene	CbG
CbGcGuD	Gene - covaries - Gene	GcG
CbGcGuD	Disease - upregulates - Gene	DuG
CbGdAlD	Compound - binds - Gene	CbG
CbGdAlD	Anatomy - downregulates - Gene	AdG
CbGdAlD	Disease - localizes - Anatomy	DlA
CbGdCpD	Compound - binds - Gene	CbG
CbGdCpD	Compound - downregulates - Gene	CdG
CbGdCpD	Compound - palliates - Disease	CpD
